Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder capacity of engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number of passenger seats ,Taxable Value (HK$),Year Of Manufacture
Private Car,MAZDA,CX-5 IPM 2.0 I-PLUS,Petrol,"1,998",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,B.M.W.,320IA GRAN TURISMO M SPORT EDITION (F34),Petrol,"1,998",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,"1,991",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,HONDA,FREED,Petrol,"1,496",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,HONDA,VEZEL,Petrol,"1,496",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,SPADE,Petrol,"1,496",SALOON,Brand New,-,4,"<= 150,000",2018
Private Car,LEXUS,ES250,Petrol,"2,487",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,MINI,COOPER COUNTRYMAN AUTOMATIC,Petrol,"1,499",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ESTIMA,Petrol,"2,362",STATION WAGGON,Others,-,6,"<= 150,000",2011
Private Car,TOYOTA,VELLFIRE,Petrol,"3,456",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2010
Private Car,AUDI,Q3 30 TFSI SPORT,Petrol,"1,395",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,NISSAN,SERENA HIGHWAY STAR VIP,Petrol,"1,997",STATION WAGGON,Brand New,-,7,"> 150,000 and <= 300,000",2018
Private Car,B.M.W.,X1 SDRIVE18IA (F48),Petrol,"1,499",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,NOAH,Petrol,"1,987",STATION WAGGON,Brand New,-,7,"> 150,000 and <= 300,000",2018
Private Car,MERCEDES BENZ,E 250,Petrol,"1,796",SALOON,Others,-,4,"<= 150,000",2012
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,HONDA,VEZEL,Petrol,"1,496",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TESLA,MODEL X 90 KWH DUAL MOTOR,Electric,-,STATION WAGGON,Brand New,-,5,"> 500,000",2017
Private Car,HONDA,STEPWGN SPADA Z,Petrol,"1,997",STATION WAGGON,Others,-,7,"<= 150,000",2014
Private Car,TOYOTA,VELLFIRE,Petrol,"2,493",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,VELLFIRE,Petrol,"2,493",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,ALPHARD 3.5 SC,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,NISSAN,QASHQAI PLUS,Petrol,"1,997",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ALPHARD SC,Petrol,"2,493",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,GLC250 (X253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,VOLKSWAGEN,SHARAN 1.4 TSI BMT HL,Petrol,"1,395",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,"1,991",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,JAGUAR,F-PACE 25T R-SPORT RWD,Petrol,"1,997",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,SPADE,Petrol,"1,496",SALOON,Brand New,-,4,"<= 150,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MITSUBISHI,LANCER EVOLUTION 1,Petrol,"1,997",SALOON,Others,-,4,"<= 150,000",1993
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,VOXY,Petrol,"1,986",STATION WAGGON,Others,-,6,"<= 150,000",2011
Private Car,TOYOTA,SIENTA,Petrol,"1,496",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,NISSAN,NOTE DIG-S GREEN,Petrol,"1,198",STATION WAGGON,Brand New,-,4,"<= 150,000",2018
Private Car,AUDI,TT RS ROADSTER QUATTRO,Petrol,"2,480",CONVERTIBLE,Brand New,-,1,"> 500,000",2018
Private Car,TOYOTA,VOXY,Petrol,"1,986",STATION WAGGON,Others,-,7,"<= 150,000",2009
Private Car,MERCEDES BENZ,GLC300 COUPE AMG EDITION (C253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,B.M.W.,420IA GRAN COUPE - SPORT (F36),Petrol,"1,998",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,MERCEDES BENZ,GLC250 (X253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,PRIUS,Petrol,"1,797",SALOON,Others,-,4,"<= 150,000",2013
Private Car,TOYOTA,VELLFIRE,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,MERCEDES-MAYBACH S560 FACELIFT (X222),Petrol,"3,982",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,B.M.W.,520IA SALOON (G30),Petrol,"1,998",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,HONDA,JAZZ,Petrol,"1,496",STATION WAGGON,Brand New,-,4,"<= 150,000",2018
Private Car,TOYOTA,ESTIMA,Petrol,"2,362",STATION WAGGON,Others,-,6,"<= 150,000",2009
Private Car,TOYOTA,PRIUS,Petrol,"1,797",SALOON,Others,-,4,"<= 150,000",2013
Private Car,MERCEDES BENZ,MERCEDES-AMG C63 S (W205),Petrol,"3,982",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,"1,991",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,HONDA,FREED,Petrol,"1,496",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,ESTIMA,Petrol,"2,362",STATION WAGGON,Others,-,6,"<= 150,000",2011
Private Car,TOYOTA,ALPHARD,Petrol,"2,493",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,AUDI,Q3 30 TFSI SPORT,Petrol,"1,395",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,SPADE,Petrol,"1,496",SALOON,Brand New,-,4,"<= 150,000",2018
Private Car,HONDA,JAZZ,Petrol,"1,496",STATION WAGGON,Brand New,-,4,"<= 150,000",2018
Private Car,B.M.W.,520IA SALOON (G30),Petrol,"1,998",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
